Source: EMFAC2021 (v1.0.1) Emission Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Type: Air District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: Bay Area AQMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calendar Year: 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season: Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Classification: EMFAC202x Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Units:  miles/day for CVMT and EVMT, trips/day for Trips, g/mile for RUNEX, PMBW and PMTW, g/trip for STREX, HOTSOAK and RUNLOSS, g/vehicle/day for IDLEX and DIURN. PHEV calculated based on total VMT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,NOx_RUNEX,NOx_IDLEX,NOx_STREX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_HOTSOAK,ROG_RUNLOSS,ROG_DIURN,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_HOTSOAK,TOG_RUNLOSS,TOG_DIURN,NH3_RUNEX,CO_RUNEX,CO_IDLEX,CO_STREX,SOx_RUNEX,SOx_IDLEX,SOx_STREX
Bay Area AQMD,2013,LDA,Aggregate,Aggregate,Gasoline,2373048.773,77732346.82,77732346.82,0,10993549.5,0.175809497,0,0.487621492,0.001815,0,0.003318363,0.002000001,0.002619765,0.001969917,0,0.003591705,0.008000002,0.007485042,351.8581522,0,87.1178413,0.011767256,0,0.133021237,0.012850203,0,0.043548364,0.056971531,0,0.725171137,0.211106333,0.482832949,3.338452207,0.079741856,0,0.793641633,0.211106333,0.482832949,3.338452207,0.030915278,2.799098247,0,6.30284685,0.003490369,0,0.000864193
Bay Area AQMD,2013,LDA,Aggregate,Aggregate,Diesel,19083.6767,622028.1957,622028.1957,0,86743.91462,0.454658545,0,0,0.034468421,0,0,0.002000001,0.002588739,0.03602693,0,0,0.008000002,0.007396398,258.2484895,0,0,0.002460699,0,0,0.040537431,0,0,0.052977406,0,0,0,0,0,0.060311255,0,0,0,0,0,0.0031,0.465306502,0,0,0.002438031,0,0
Bay Area AQMD,2013,LDA,Aggregate,Aggregate,Electricity,9892.007727,314346.3822,0,314346.3822,50369.21237,0,0,0,0,0,0,0.002000001,0.001524462,0,0,0,0.008000002,0.004355605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2013,LDT1,Aggregate,Aggregate,Gasoline,242326.5907,6978073.826,6978073.826,0,1072129.79,0.390608311,0,0.680130297,0.003879669,0,0.00590366,0.002000001,0.003223197,0.004199004,0,0.006380806,0.008000002,0.009209136,409.0438415,0,107.2741265,0.025348298,0,0.181784635,0.023686547,0,0.050511511,0.138605537,0,1.052489709,0.391795475,0.976164663,6.053529403,0.185178425,0,1.151587876,0.391795475,0.976164663,6.053529403,0.038557301,5.371354244,0,10.05106786,0.00405764,0,0.00106414
Bay Area AQMD,2013,LDT1,Aggregate,Aggregate,Diesel,451.066898,8215.496882,8215.496882,0,1658.025181,1.470954531,0,0,0.183023201,0,0,0.002000001,0.003586441,0.191298698,0,0,0.008000002,0.010246975,453.1998183,0,0,0.011355841,0,0,0.071139066,0,0,0.244484571,0,0,0,0,0,0.27832943,0,0,0,0,0,0.0031,1.514367029,0,0,0.004278496,0,0
Bay Area AQMD,2013,LDT1,Aggregate,Aggregate,Electricity,470.8122026,13738.50531,0,13738.50531,2320.434506,0,0,0,0,0,0,0.002000001,0.001528889,0,0,0,0.008000002,0.004368253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2014,LDA,Aggregate,Aggregate,Gasoline,2393860.333,79471545.17,79471545.17,0,11102580.25,0.151308624,0,0.451377326,0.00163003,0,0.002973387,0.002000001,0.002616736,0.001769918,0,0.003221216,0.008000002,0.007476388,345.7059027,0,84.6234041,0.010098212,0,0.122693891,0.011347141,0,0.041786458,0.047981678,0,0.659258644,0.1903849,0.436025918,3.127312279,0.067617494,0,0.721566773,0.1903849,0.436025918,3.127312279,0.029199607,2.478956899,0,5.712112894,0.003438584,0,0.000841712
Bay Area AQMD,2014,LDA,Aggregate,Aggregate,Diesel,21567.50728,746393.3906,746393.3906,0,99738.9107,0.339506776,0,0,0.025672343,0,0,0.002000001,0.002579056,0.026833132,0,0,0.008000002,0.007368731,251.3681577,0,0,0.001880874,0,0,0.039465105,0,0,0.040494118,0,0,0,0,0,0.046099861,0,0,0,0,0,0.0031,0.377411667,0,0,0.002373538,0,0
Bay Area AQMD,2014,LDA,Aggregate,Aggregate,Electricity,17280.20167,565043.8327,0,565043.8327,88580.01442,0,0,0,0,0,0,0.002000001,0.001523769,0,0,0,0.008000002,0.004353625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2014,LDT1,Aggregate,Aggregate,Gasoline,238855.2228,7018180.284,7018180.284,0,1061293.024,0.334450987,0,0.633428397,0.003317919,0,0.005059644,0.002000001,0.003209322,0.003597477,0,0.005480817,0.008000002,0.009169491,401.804072,0,103.5464768,0.020870435,0,0.168753928,0.020901141,0,0.048687546,0.107810488,0,0.961601333,0.341979549,0.89401415,5.683894833,0.148160757,0,1.052420446,0.341979549,0.89401415,5.683894833,0.036625016,4.630644439,0,9.113709118,0.003996568,0,0.001029931
