Source: EMFAC2021 (v1.0.1) Emission Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Type: County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: San Mateo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calendar Year: 2020, 2030, 2040, 2050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season: Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Classification: EMFAC202x Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Units:  miles/day for CVMT and EVMT, trips/day for Trips, g/mile for RUNEX, PMBW and PMTW, g/trip for STREX, HOTSOAK and RUNLOSS, g/vehicle/day for IDLEX and DIURN. PHEV calculated based on total VMT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,NOx_RUNEX,NOx_IDLEX,NOx_STREX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_HOTSOAK,ROG_RUNLOSS,ROG_DIURN,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_HOTSOAK,TOG_RUNLOSS,TOG_DIURN,NH3_RUNEX,CO_RUNEX,CO_IDLEX,CO_STREX,SOx_RUNEX,SOx_IDLEX,SOx_STREX
San Mateo,2020,LDA,Aggregate,Aggregate,Gasoline,242868.1099,7500311.2,7500311.2,0,1142657.465,0.052647715,0,0.272522094,0.001415315,0,0.002344209,0.002000001,0.002378819,0.001539265,0,0.002549305,0.008000002,0.006796626,311.741571,0,73.53877102,0.003456482,0,0.073995484,0.00505023,0,0.032261239,0.014189675,0,0.358426565,0.105784332,0.25087289,1.900321631,0.02069954,0,0.392428953,0.105784332,0.25087289,1.900321631,0.032998136,1.068361484,0,3.238426314,0.003081883,0,0.000727006
San Mateo,2020,LDA,Aggregate,Aggregate,Diesel,996.8649809,24543.35689,24543.35689,0,4315.508963,0.287837731,0,0,0.019500107,0,0,0.002000001,0.002408188,0.020381815,0,0,0.008000002,0.006880538,242.0989145,0,0,0.001520918,0,0,0.038142783,0,0,0.032744471,0,0,0,0,0,0.037277403,0,0,0,0,0,0.0031,0.365370268,0,0,0.00229401,0,0
San Mateo,2020,LDA,Aggregate,Aggregate,Electricity,11309.3813,387273.4404,0,387273.4404,57026.04563,0,0,0,0,0,0,0.002000001,0.001527414,0,0,0,0.008000002,0.004364039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Mateo,2030,LDA,Aggregate,Aggregate,Gasoline,237797.8133,6358119.989,6358119.989,0,1114766.679,0.021212654,0,0.174927106,0.000840114,0,0.001499631,0.002000001,0.002348015,0.0009137,0,0.001630985,0.008000002,0.006708614,266.3826477,0,61.549712,0.001340119,0,0.041773022,0.002945854,0,0.02446903,0.004630943,0,0.184599365,0.068922371,0.184679462,1.328357577,0.006757461,0,0.202113069,0.068922371,0.184679462,1.328357577,0.039858762,0.622198731,0,1.881270707,0.002633464,0,0.000608482
San Mateo,2030,LDA,Aggregate,Aggregate,Diesel,401.2092369,8094.891905,8094.891905,0,1723.630269,0.078489926,0,0,0.005613644,0,0,0.002000001,0.002417363,0.005867468,0,0,0.008000002,0.006906752,217.7249199,0,0,0.000571745,0,0,0.03430265,0,0,0.012309341,0,0,0,0,0,0.014013366,0,0,0,0,0,0.0031,0.228322366,0,0,0.002063054,0,0
San Mateo,2030,LDA,Aggregate,Aggregate,Electricity,25244.07559,809588.1364,0,809588.1364,122638.403,0,0,0,0,0,0,0.002000001,0.001533236,0,0,0,0.008000002,0.004380674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Mateo,2040,LDA,Aggregate,Aggregate,Gasoline,239013.4487,5833280.29,5833280.29,0,1122617.335,0.016532057,0,0.145953864,0.000503786,0,0.000882593,0.002000001,0.002384636,0.000547913,0,0.000959901,0.008000002,0.006813247,250.2077092,0,56.35506989,0.000967416,0,0.028699178,0.002588262,0,0.021647951,0.00296549,0,0.117099525,0.042927281,0.151211203,1.038056634,0.004327236,0,0.12820924,0.042927281,0.151211203,1.038056634,0.041792345,0.541508642,0,1.404413728,0.002473558,0,0.000557127
San Mateo,2040,LDA,Aggregate,Aggregate,Diesel,181.877114,3702.308022,3702.308022,0,800.9300459,0.023978016,0,0,0.001647273,0,0,0.002000001,0.002402654,0.001721756,0,0,0.008000002,0.006864725,192.9790423,0,0,0.000248464,0,0,0.030403927,0,0,0.005349289,0,0,0,0,0,0.00608981,0,0,0,0,0,0.0031,0.142218278,0,0,0.001828574,0,0
San Mateo,2040,LDA,Aggregate,Aggregate,Electricity,31852.52453,875819.341,0,875819.341,151743.2041,0,0,0,0,0,0,0.002000001,0.001535238,0,0,0,0.008000002,0.004386393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Mateo,2050,LDA,Aggregate,Aggregate,Gasoline,243756.9305,5729795.581,5729795.581,0,1146037.626,0.015913442,0,0.137117801,0.000435997,0,0.000718221,0.002000001,0.002385022,0.000474187,0,0.000781131,0.008000002,0.006814349,247.547852,0,55.16874723,0.000916442,0,0.02547548,0.002532156,0,0.020944581,0.002743508,0,0.098988114,0.035068405,0.13506419,0.897652609,0.004003321,0,0.108379525,0.035068405,0.13506419,0.897652609,0.041972147,0.531743493,0,1.294708418,0.002447263,0,0.000545399
