            year,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,268.8328857,,,,
1951,171.2159729,,,,
1952,223.217926,,,,
1953,198.6329041,,,,
1954,225.851944,,,,
1955,156.191925,,,,
1956,162.2909241,,,,
1957,283.1039124,,,,
1958,397.3978882,,,,
1959,368.7149048,,,,
1960,278.0699463,,,,
1961,451.3289185,,,,
1962,153.2789612,,,,
1963,235.9949646,,,,
1964,262.2809448,,,,
1965,189.4829712,,,,
1966,253.9559021,,,,
1967,345.5159302,,,,
1968,313.5389404,,,,
1969,300.7198792,,,,
1970,305.8618774,,,,
1971,378.1469421,,,,
1972,340.1368713,,,,
1973,373.8449097,,,,
1974,388.5449829,,,,
1975,311.1449585,,,,
1976,429.7409363,,,,
1977,346.2419128,,,,
1978,441.2518921,,,,
1979,423.164917,,,,
1980,267.8009338,,,,
1981,441.7978516,,,,
1982,312.0029297,,,,
1983,536.6578369,,,,
1984,636.2248535,,,,
1985,407.3549194,,,,
1986,270.5369873,,,,
1987,318.5039063,,,,
1988,432.4019165,,,,
1989,347.1149292,,,,
1990,336.1499023,,,,
1991,334.7489624,,,,
1992,448.2598267,,,,
1993,489.4048767,,,,
1994,266.8439331,,,,
1995,482.9638977,,,,
1996,562.7009277,,,,
1997,598.9259033,,,,
1998,407.4029236,,,,
1999,355.7489319,,,,
2000,522.0599365,,,,
2001,499.8148804,,,,
2002,451.1549072,,,,
2003,588.1799316,,,,
2004,489.7498779,,,,
2005,334.3738708,,,,
2006,481.7249146,432.2739258,496.4889526,501.6656494,466.5569763
2007,,356.9863281,648.6933594,1110.832153,717.8302612
2008,,501.4777222,609.5994263,376.4303894,592.2067261
2009,,470.3836365,474.065979,596.9127808,441.3768921
2010,,623.4760742,521.7930298,649.8933716,440.6980896
2011,,501.7264709,481.7723694,445.7216797,485.2669067
2012,,469.3283081,404.5974121,598.7626343,536.5803223
2013,,482.4529724,624.8835449,520.7589722,599.6586914
2014,,435.8467407,637.2451172,439.8046265,420.4653931
2015,,515.2071533,444.0831909,461.4951172,496.5899658
2016,,424.7313538,450.2192688,467.661499,535.6883545
2017,,525.2877808,540.8010864,548.9423218,563.737793
2018,,609.3519287,515.2142944,475.4245605,438.5805969
2019,,581.7695923,328.9090271,442.1372375,492.9836426
2020,,612.5334473,406.6825562,483.265564,189.6598053
2021,,672.1951904,437.4804382,535.3094482,372.604187
2022,,554.4020996,661.0895386,583.0102539,879.3526611
2023,,608.4382935,549.1160889,717.3913574,504.9679565
2024,,669.8641968,512.7949829,544.4326782,427.1953125
2025,,603.4511719,519.7766113,699.6384277,555.1790161
2026,,696.8024292,441.0357361,537.9882202,646.6154785
2027,,459.3960266,524.3828735,575.6218262,474.7506104
2028,,684.7527466,387.9527893,392.848938,596.8401489
2029,,610.5473022,562.1279907,524.781189,861.0765991
2030,,935.2781982,687.5633545,835.8563232,538.3583374
2031,,697.5645142,711.3980713,797.7735596,393.7592468
2032,,763.9529419,600.5704346,687.8297119,455.2023621
