            year,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,2699.574219,,,,
1951,2922.438232,,,,
1952,3004.914063,,,,
1953,2817.234131,,,,
1954,2894.559326,,,,
1955,3220.713135,,,,
1956,2980.410156,,,,
1957,2668.533203,,,,
1958,2368.02002,,,,
1959,2407.056152,,,,
1960,2880.39624,,,,
1961,2940.282227,,,,
1962,2938.287109,,,,
1963,2959.335205,,,,
1964,3106.932129,,,,
1965,2972.526123,,,,
1966,2704.209229,,,,
1967,2831.616211,,,,
1968,2713.407227,,,,
1969,2731.488037,,,,
1970,2642.250244,,,,
1971,3234.498047,,,,
1972,2869.575195,,,,
1973,2660.823242,,,,
1974,2825.334229,,,,
1975,3061.842041,,,,
1976,2804.187256,,,,
1977,2694.795166,,,,
1978,2548.470215,,,,
1979,2665.359131,,,,
1980,2527.119141,,,,
1981,2338.998291,,,,
1982,3026.037109,,,,
1983,2413.578125,,,,
1984,2674.890137,,,,
1985,3002.229248,,,,
1986,2328.162109,,,,
1987,2524.335205,,,,
1988,2589.228027,,,,
1989,2815.52124,,,,
1990,2804.316162,,,,
1991,2835.621094,,,,
1992,2328.363281,,,,
1993,2700.363037,,,,
1994,3048.50415,,,,
1995,2247.29126,,,,
1996,2220.318115,,,,
1997,2183.901123,,,,
1998,2898.651123,,,,
1999,2828.664063,,,,
2000,2489.808105,,,,
2001,2527.686035,,,,
2002,2589.798096,,,,
2003,2423.322021,,,,
2004,2421.423096,,,,
2005,2417.796143,,,,
2006,2716.938232,2388.708984,2195.38501,2721.586914,2515.873047
2007,,2724.046387,2195.017822,2165.984619,1999.723145
2008,,2481.492188,2191.760742,2292.933838,2416.524658
2009,,2195.263184,2472.452393,2551.703857,2270.789063
2010,,2137.869629,2243.168213,2711.477783,2319.544678
2011,,2303.607178,2211.616455,2864.429199,2299.116943
2012,,2252.865723,2206.783447,2135.269775,2332.036377
2013,,2058.38916,2126.743652,2599.371582,2324.098877
2014,,2287.140869,2101.069092,2264.560547,2280.595947
2015,,2185.127686,2680.934326,2339.153564,2115.612549
2016,,1916.142212,2440.824219,2067.87085,2530.599121
2017,,2134.493408,2170.453857,1892.423218,2261.505127
2018,,2183.178955,2515.597656,2304.664063,2666.873535
2019,,2362.776123,2448.14209,2176.171143,2444.025146
2020,,1999.080444,2652.228027,2505.158691,2388.02002
2021,,2010.531616,2768.643799,2393.646484,2775.399658
2022,,2222.706299,2558.303223,2196.105957,2246.700439
2023,,2131.688477,2303.356934,2232.378174,2450.314941
2024,,2163.127441,2155.022949,2404.087402,2235.372559
2025,,2259.701904,2356.635498,2371.362305,2120.519043
2026,,1933.851807,2004.062622,2439.149414,1876.832764
2027,,2068.329346,2117.252441,2379.621094,2643.400391
2028,,1922.330933,2618.739502,2482.619385,2466.168701
2029,,1866.131348,2339.207764,2615.507813,2243.726318
2030,,1964.854736,2150.573486,2564.565674,2257.393066
2031,,1722.139893,2110.175049,2093.966797,2167.553467
2032,,1991.018799,2395.064941,1968.006226,2108.960693
2033,,2116.41748,1853.215942,2465.255859,2237.776123
2034,,2063.053223,1990.416138,2245.490479,2288.254395
2035,,2000.08728,2300.274658,2549.37085,2041.85791
