GM_DATASET_NAME	GM_WELL_CATEGORY	GM_DATA_SOURCE	GM_WELL_ID	GM_CHEMICAL_VVL	GM_CHEMICAL_NAME	GM_RESULT_MODIFIER	GM_RESULT	GM_RESULT_UNITS	GM_SAMP_COLLECTION_DATE	GM_REPORTING_LIMIT	GM_LATITUDE	GM_LONGITUDE	GM_WELL_DEPTH_FT	GM_TOP_DEPTH_OF_SCREEN_FT	GM_BOTTOM_DEPTH_OF_SCREEN_FT	GM_CAS_NUMBER	GM_ALTWELL_ID1	GM_ALTWELL_ID2	GM_ALTWELL_ID3	SRC_CHEMICAL	SRC_RESULT_MODIFIER	SRC_RESULT	SRC_RESULT_UNITS	SRC_SAMP_COLLECTION_DATE	SRC_SAMP_COLLECTION_TIME	SRC_REPORTING_LIMIT	SRC_ANALYTICAL_METHOD	SRC_LAB_NOTE	SRC_LATITUDE	SRC_LONGITUDE	SRC_DATUM	SRC_WELL_DEPTH_FT	SRC_TOP_DEPTH_OF_SCREEN_FT	SRC_BOTTOM_DEPTH_OF_SCREEN_FT
GAMA_USGS	MUNICIPAL	USGS	SFM-D1	FONOFOS	Fonofos	<	.006	UG/L	05/15/2007	.006	37.52608333	-121.98691667	480	450	480	944-22-9				Fonofos, wf	<	.006	ug/l	05/15/2007	1540	.006	GCM35		37.52608333	-121.98691667		480	450	480
GAMA_USGS	MUNICIPAL	USGS	SFM-D1	U	Uranium		.3	pCi/L	05/15/2007	.027027027027027027027027027027027027027	37.52608333	-121.98691667	480	450	480	7440-61-1				Uranium, wf		.4	ug/l	05/15/2007	1540	.04	PLM43		37.52608333	-121.98691667		480	450	480
GAMA_USGS	MUNICIPAL	USGS	SFM-D1	U	Uranium		.3	pCi/L	05/15/2007	.027027027027027027027027027027027027027	37.52608333	-121.98691667	480	450	480	7440-61-1				Uranium, wf		.4	ug/l	05/15/2007	1540	.04	PLM43		37.52608333	-121.98691667		480	450	480
GAMA_USGS	MUNICIPAL	USGS	SFM-D1	ALKCACO3	Alkalinity as CaCO3		219	MG/L	05/15/2007	5	37.52608333	-121.98691667	480	450	480					Alkalinity,wf,fixedEP,lab		219	mg/l CaCO3	05/15/2007	1540	5	TT040	Hold-time violation - for accurate results measure : @ : c :	37.52608333	-121.98691667		480	450	480
GAMA_USGS	MUNICIPAL	USGS	SFM-D1	ALK	Alkalinity, total		219	MG/L	05/15/2007	5	37.52608333	-121.98691667	480	450	480					Alkalinity,wf,fixedEP,lab		219	mg/l CaCO3	05/15/2007	1540	5	TT040	Hold-time violation - for accurate results measure : @ : c :	37.52608333	-121.98691667		480	450	480
GAMA_USGS	MUNICIPAL	USGS	SFM-D1	CTCL	Carbon Tetrachloride	<	.08	UG/L	05/15/2007	.08	37.52608333	-121.98691667	480	450	480	56-23-5				Tetrachloromethane, wu	<	.08	ug/l	05/15/2007	1540	.08	GCM66		37.52608333	-121.98691667		480	450	480
GAMA_USGS	MUNICIPAL	USGS	SFM-D1	DCA12	1,2 Dichloroethane (1,2 DCA)	<	.1	UG/L	05/15/2007	.1	37.52608333	-121.98691667	480	450	480	107-06-2				1,2-Dichloroethane, wu	<	.1	ug/l	05/15/2007	1540	.1	GCM66		37.52608333	-121.98691667		480	450	480
GAMA_USGS	MUNICIPAL	USGS	SFM-D1	TBME	Bromoform (THM)	<	.08	UG/L	05/15/2007	.08	37.52608333	-121.98691667	480	450	480	75-25-2				Tribromomethane, wu	<	.08	ug/l	05/15/2007	1540	.08	GCM66		37.52608333	-121.98691667		480	450	480
GAMA_USGS	MUNICIPAL	USGS	SFM-D1	DBCME	Dibromochloromethane (THM)	<	.12	UG/L	05/15/2007	.12	37.52608333	-121.98691667	480	450	480	124-48-1				Dibromochloromethane, wu	<	.12	ug/l	05/15/2007	1540	.12	GCM66		37.52608333	-121.98691667		480	450	480
GAMA_USGS	MUNICIPAL	USGS	SFM-D1	TCLME	Chloroform (THM)	<	.04	UG/L	05/15/2007	.04	37.52608333	-121.98691667	480	450	480	67-66-3				Trichloromethane, wu	<	.04	ug/l	05/15/2007	1540	.04	GCM66		37.52608333	-121.98691667		480	450	480
GAMA_USGS	MUNICIPAL	USGS	SFM-D1	BZME	Toluene	V	.03	UG/L	05/15/2007	.018	37.52608333	-121.98691667	480	450	480	108-88-3				Toluene, wu	V	.03	ug/l	05/15/2007	1540	.018	GCM66	b :	37.52608333	-121.98691667		480	450	480
