ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalThm,AverageTherms
92304,10,2013,Gas- Commercial,Y,0,0,
92304,10,2013,Gas- Residential,Y,0,0,
92365,10,2013,Gas- Commercial,Y,0,0,
92365,10,2013,Gas- Residential,Y,0,0,
93203,10,2013,Gas- Commercial,Y,0,0,
93203,10,2013,Gas- Residential,Y,0,0,
93204,10,2013,Gas- Commercial,Y,0,0,
93204,10,2013,Gas- Residential,N,"2,189","58,096",27
93210,10,2013,Gas- Commercial,Y,0,0,
93210,10,2013,Gas- Residential,Y,0,0,
93224,10,2013,Gas- Commercial,Y,0,0,
93224,10,2013,Gas- Residential,Y,0,0,
93234,10,2013,Gas- Commercial,Y,0,0,
93234,10,2013,Gas- Residential,Y,"1,351","31,457",23
93239,10,2013,Gas- Commercial,Y,0,0,
93239,10,2013,Gas- Residential,N,333,"6,784",20
93252,10,2013,Gas- Commercial,Y,0,0,
93252,10,2013,Gas- Residential,N,389,"7,986",21
93263,10,2013,Gas- Commercial,Y,0,0,
93263,10,2013,Gas- Residential,Y,0,0,
93268,10,2013,Gas- Commercial,Y,283,"19,396",69
93268,10,2013,Gas- Residential,Y,"4,782","102,087",21
93280,10,2013,Gas- Commercial,Y,0,0,
93301,10,2013,Gas- Commercial,N,"1,198","111,911",93
93301,10,2013,Gas- Residential,N,"4,729","100,327",21
93304,10,2013,Gas- Commercial,N,620,"79,039",127
93304,10,2013,Gas- Residential,N,"14,751","369,591",25
93305,10,2013,Gas- Commercial,N,510,"60,802",119
93305,10,2013,Gas- Residential,N,"10,427","248,847",24
93306,10,2013,Gas- Commercial,N,348,"77,185",222
93306,10,2013,Gas- Residential,N,"19,847","438,221",22
93307,10,2013,Gas- Commercial,Y,638,"81,708",128
93307,10,2013,Gas- Residential,Y,"19,405","472,945",24
93308,10,2013,Gas- Commercial,Y,508,"70,087",138
93308,10,2013,Gas- Residential,N,"5,831","136,770",23
93309,10,2013,Gas- Commercial,N,402,"60,362",150
93309,10,2013,Gas- Residential,Y,"12,220","241,551",20
93311,10,2013,Gas- Commercial,Y,0,0,
93311,10,2013,Gas- Residential,N,"8,212","173,234",21
93312,10,2013,Gas- Residential,Y,0,0,
93313,10,2013,Gas- Commercial,Y,522,"69,507",133
93313,10,2013,Gas- Residential,N,"12,468","292,530",23
93314,10,2013,Gas- Commercial,Y,0,0,
93314,10,2013,Gas- Residential,Y,934,"18,868",20
93432,10,2013,Gas- Commercial,Y,0,0,
93446,10,2013,Gas- Commercial,Y,0,0,
93446,10,2013,Gas- Residential,Y,0,0,
93450,10,2013,Gas- Commercial,Y,0,0,
93450,10,2013,Gas- Residential,N,118,"3,641",31
93451,10,2013,Gas- Residential,Y,0,0,
93461,10,2013,Gas- Commercial,Y,0,0,
93461,10,2013,Gas- Residential,Y,311,"13,076",42
93465,10,2013,Gas- Residential,Y,0,0,
93516,10,2013,Gas- Commercial,Y,0,0,
93516,10,2013,Gas- Residential,Y,795,"24,362",31
93523,10,2013,Gas- Commercial,Y,0,0,
93523,10,2013,Gas- Residential,N,376,"9,657",26
93526,10,2013,Gas- Residential,Y,0,0,
93555,10,2013,Gas- Commercial,Y,645,"72,124",112
93555,10,2013,Gas- Residential,N,"12,051","233,743",19
93561,10,2013,Gas- Commercial,Y,0,0,
93561,10,2013,Gas- Residential,N,"1,349","57,559",43
93562,10,2013,Gas- Commercial,Y,0,0,
93562,10,2013,Gas- Residential,N,730,"11,882",16
93606,10,2013,Gas- Residential,N,215,"5,235",24
93608,10,2013,Gas- Commercial,Y,0,0,
93608,10,2013,Gas- Residential,Y,103,"2,390",23
93610,10,2013,Gas- Commercial,Y,0,0,
93610,10,2013,Gas- Residential,N,"4,012","85,180",21
93611,10,2013,Gas- Commercial,Y,0,0,
93611,10,2013,Gas- Residential,N,"15,221","302,851",20
93612,10,2013,Gas- Commercial,N,892,"118,587",133
93612,10,2013,Gas- Residential,N,"12,634","237,828",19
93616,10,2013,Gas- Commercial,Y,0,0,
93616,10,2013,Gas- Residential,Y,0,0,
93619,10,2013,Gas- Commercial,Y,0,0,
93619,10,2013,Gas- Residential,N,"6,730","138,217",21
93620,10,2013,Gas- Commercial,Y,0,0,
93620,10,2013,Gas- Residential,N,"2,016","40,946",20
93622,10,2013,Gas- Commercial,Y,328,"36,602",112
93622,10,2013,Gas- Residential,N,"2,054","46,103",22
93625,10,2013,Gas- Commercial,Y,0,0,
93625,10,2013,Gas- Residential,Y,"1,662","37,347",22
93627,10,2013,Gas- Commercial,Y,0,0,
93627,10,2013,Gas- Residential,Y,0,0,
93630,10,2013,Gas- Commercial,Y,0,0,
93630,10,2013,Gas- Residential,N,"4,130","82,288",20
93631,10,2013,Gas- Commercial,Y,0,0,
93635,10,2013,Gas- Commercial,Y,646,"151,057",234
93635,10,2013,Gas- Residential,N,"10,756","222,908",21
93636,10,2013,Gas- Commercial,Y,0,0,
93636,10,2013,Gas- Residential,Y,0,0,
93637,10,2013,Gas- Commercial,N,573,"181,305",316
93637,10,2013,Gas- Residential,N,"9,792","207,429",21
93638,10,2013,Gas- Commercial,Y,490,"65,756",134
93638,10,2013,Gas- Residential,N,"7,584","174,569",23
93640,10,2013,Gas- Commercial,Y,0,0,
93640,10,2013,Gas- Residential,N,"2,343","63,935",27
93650,10,2013,Gas- Commercial,Y,0,0,
93650,10,2013,Gas- Residential,N,"1,049","26,323",25
93657,10,2013,Gas- Commercial,Y,0,0,
93657,10,2013,Gas- Residential,N,"7,010","152,543",22
93660,10,2013,Gas- Commercial,Y,0,0,
93660,10,2013,Gas- Residential,N,874,"20,242",23
93662,10,2013,Gas- Commercial,Y,453,"87,836",194
93662,10,2013,Gas- Residential,N,"5,856","137,158",23
93665,10,2013,Gas- Residential,N,183,"4,036",22
93667,10,2013,Gas- Residential,Y,0,0,
93668,10,2013,Gas- Commercial,Y,0,0,
93668,10,2013,Gas- Residential,N,196,"3,669",19
93701,10,2013,Gas- Commercial,Y,0,0,
93701,10,2013,Gas- Residential,N,"3,232","70,896",22
93702,10,2013,Gas- Commercial,N,423,"47,552",112
93702,10,2013,Gas- Residential,N,"11,261","282,744",25
93703,10,2013,Gas- Commercial,Y,560,"56,844",102
93703,10,2013,Gas- Residential,N,"9,332","223,372",24
93704,10,2013,Gas- Commercial,Y,0,0,
93704,10,2013,Gas- Residential,N,"11,067","249,089",23
93705,10,2013,Gas- Commercial,Y,0,0,
93705,10,2013,Gas- Residential,N,"11,622","258,898",22
93706,10,2013,Gas- Commercial,Y,"1,037","195,353",188
93706,10,2013,Gas- Residential,N,"8,041","210,604",26
93710,10,2013,Gas- Commercial,Y,859,"126,909",148
93710,10,2013,Gas- Residential,N,"10,575","215,773",20
93711,10,2013,Gas- Commercial,Y,"1,270","122,930",97
93711,10,2013,Gas- Residential,N,"15,167","380,529",25
93720,10,2013,Gas- Commercial,Y,952,"173,871",183
93720,10,2013,Gas- Residential,N,"17,090","351,023",21
93721,10,2013,Gas- Commercial,Y,"1,187","235,185",198
93721,10,2013,Gas- Residential,N,"1,228","23,444",19
93722,10,2013,Gas- Commercial,N,789,"100,100",127
93722,10,2013,Gas- Residential,N,"24,402","488,855",20
93723,10,2013,Gas- Commercial,Y,0,0,
93723,10,2013,Gas- Residential,N,"1,967","40,398",21
93725,10,2013,Gas- Commercial,Y,0,0,
93725,10,2013,Gas- Residential,N,"5,102","114,263",22
93726,10,2013,Gas- Commercial,Y,"1,234","171,495",139
93726,10,2013,Gas- Residential,N,"13,692","297,532",22
93727,10,2013,Gas- Commercial,Y,"2,021","327,477",162
93727,10,2013,Gas- Residential,N,"20,265","420,340",21
93728,10,2013,Gas- Commercial,Y,0,0,
93728,10,2013,Gas- Residential,N,"5,066","115,579",23
93730,10,2013,Gas- Commercial,Y,0,0,
93730,10,2013,Gas- Residential,Y,"3,592","81,389",23
93737,10,2013,Gas- Residential,N,489,"7,773",16
93740,10,2013,Gas- Commercial,Y,0,0,
93741,10,2013,Gas- Commercial,Y,0,0,
93901,10,2013,Gas- Commercial,Y,"1,542","319,541",207
93901,10,2013,Gas- Residential,N,"8,746","273,663",31
93905,10,2013,Gas- Commercial,Y,0,0,
93905,10,2013,Gas- Residential,N,"11,616","376,356",32
93906,10,2013,Gas- Commercial,N,364,"94,489",260
93906,10,2013,Gas- Residential,N,"15,319","468,640",31
93907,10,2013,Gas- Commercial,Y,0,0,
93907,10,2013,Gas- Residential,N,"4,938","154,560",31
93908,10,2013,Gas- Commercial,Y,0,0,
93908,10,2013,Gas- Residential,N,"2,990","133,122",45
93920,10,2013,Gas- Residential,Y,0,0,
93921,10,2013,Gas- Commercial,N,138,"45,339",329
93921,10,2013,Gas- Residential,N,"1,627","78,879",48
93923,10,2013,Gas- Commercial,Y,397,"94,064",237
93923,10,2013,Gas- Residential,N,"5,207","309,113",59
93924,10,2013,Gas- Commercial,Y,0,0,
93924,10,2013,Gas- Residential,N,"1,382","72,992",53
93925,10,2013,Gas- Commercial,Y,0,0,
93925,10,2013,Gas- Residential,N,237,"7,252",31
93926,10,2013,Gas- Commercial,Y,0,0,
93926,10,2013,Gas- Residential,N,"2,005","59,855",30
93927,10,2013,Gas- Commercial,Y,0,0,
93927,10,2013,Gas- Residential,Y,"3,651","110,353",30
93930,10,2013,Gas- Commercial,Y,425,"110,863",261
93930,10,2013,Gas- Residential,Y,"3,267","102,178",31
93933,10,2013,Gas- Commercial,N,266,"43,473",163
93933,10,2013,Gas- Residential,N,"6,893","207,880",30
93940,10,2013,Gas- Commercial,Y,"1,254","505,032",403
93940,10,2013,Gas- Residential,Y,"11,055","419,395",38
93943,10,2013,Gas- Residential,Y,0,0,
93944,10,2013,Gas- Commercial,Y,0,0,
93950,10,2013,Gas- Commercial,Y,0,0,
93950,10,2013,Gas- Residential,N,"6,679","261,164",39
93953,10,2013,Gas- Commercial,Y,0,0,
93953,10,2013,Gas- Residential,N,"2,579","192,987",75
93955,10,2013,Gas- Commercial,N,460,"92,291",201
93955,10,2013,Gas- Residential,N,"8,195","306,894",37
93960,10,2013,Gas- Commercial,Y,0,0,
93960,10,2013,Gas- Residential,N,"3,811","111,620",29
93962,10,2013,Gas- Residential,N,260,"9,183",35
94002,10,2013,Gas- Commercial,N,431,"82,841",192
94002,10,2013,Gas- Residential,N,"9,326","333,425",36
