ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalThm,AverageThm
92304,1,2015,Gas- Commercial,Y,0,0,
92304,1,2015,Gas- Residential,Y,0,0,
92365,1,2015,Gas- Commercial,Y,0,0,
92365,1,2015,Gas- Residential,Y,0,0,
93203,1,2015,Gas- Commercial,Y,0,0,
93203,1,2015,Gas- Residential,Y,0,0,
93204,1,2015,Gas- Commercial,Y,0,0,
93204,1,2015,Gas- Residential,N,"2,198","118,148",54
93210,1,2015,Gas- Commercial,Y,0,0,
93210,1,2015,Gas- Residential,Y,0,0,
93224,1,2015,Gas- Commercial,Y,0,0,
93224,1,2015,Gas- Residential,N,31,"2,657",86
93234,1,2015,Gas- Commercial,Y,0,0,
93234,1,2015,Gas- Residential,Y,"1,348","66,074",49
93239,1,2015,Gas- Commercial,Y,0,0,
93239,1,2015,Gas- Residential,N,331,"18,812",57
93252,1,2015,Gas- Commercial,Y,0,0,
93252,1,2015,Gas- Residential,N,386,"31,679",82
93263,1,2015,Gas- Commercial,Y,0,0,
93263,1,2015,Gas- Residential,Y,0,0,
93268,1,2015,Gas- Commercial,Y,267,"42,704",160
93268,1,2015,Gas- Residential,N,"4,733","320,376",68
93280,1,2015,Gas- Commercial,Y,0,0,
93301,1,2015,Gas- Commercial,N,"1,186","313,597",264
93301,1,2015,Gas- Residential,N,"4,756","316,742",67
93304,1,2015,Gas- Commercial,N,625,"148,279",237
93304,1,2015,Gas- Residential,N,"14,781","1,021,175",69
93305,1,2015,Gas- Commercial,N,513,"148,203",289
93305,1,2015,Gas- Residential,N,"10,454","711,883",68
93306,1,2015,Gas- Commercial,N,360,"159,852",444
93306,1,2015,Gas- Residential,N,"20,075","1,416,533",71
93307,1,2015,Gas- Commercial,Y,644,"206,393",320
93307,1,2015,Gas- Residential,Y,"19,612","1,186,592",61
93308,1,2015,Gas- Commercial,Y,510,"163,374",320
93308,1,2015,Gas- Residential,N,"5,805","373,340",64
93309,1,2015,Gas- Commercial,N,404,"129,761",321
93309,1,2015,Gas- Residential,Y,"12,296","805,984",66
93311,1,2015,Gas- Commercial,Y,0,0,
93311,1,2015,Gas- Residential,N,"8,461","647,158",76
93312,1,2015,Gas- Residential,Y,0,0,
93313,1,2015,Gas- Commercial,Y,548,"209,079",382
93313,1,2015,Gas- Residential,N,"13,087","893,458",68
93314,1,2015,Gas- Commercial,Y,0,0,
