ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,10,2021,Gas- Commercial,Y,0,0,
92304,11,2021,Gas- Commercial,Y,0,0,
92304,12,2021,Gas- Commercial,Y,0,0,
92365,10,2021,Gas- Commercial,Y,0,0,
92365,11,2021,Gas- Commercial,Y,0,0,
92365,12,2021,Gas- Commercial,Y,0,0,
93203,10,2021,Gas- Commercial,Y,0,0,
93203,11,2021,Gas- Commercial,Y,0,0,
93203,12,2021,Gas- Commercial,Y,0,0,
93204,10,2021,Gas- Commercial,Y,115,"19,946",173
93204,11,2021,Gas- Commercial,Y,115,"24,416",212
93204,12,2021,Gas- Commercial,Y,0,0,
93210,10,2021,Gas- Commercial,Y,0,0,
93210,11,2021,Gas- Commercial,Y,0,0,
93210,12,2021,Gas- Commercial,Y,0,0,
93224,10,2021,Gas- Commercial,Y,0,0,
93224,11,2021,Gas- Commercial,Y,0,0,
93224,12,2021,Gas- Commercial,Y,0,0,
93234,10,2021,Gas- Commercial,Y,0,0,
93234,11,2021,Gas- Commercial,Y,0,0,
93234,12,2021,Gas- Commercial,Y,0,0,
93239,10,2021,Gas- Commercial,Y,0,0,
93239,11,2021,Gas- Commercial,Y,0,0,
93239,12,2021,Gas- Commercial,Y,0,0,
93252,10,2021,Gas- Commercial,Y,0,0,
93252,11,2021,Gas- Commercial,Y,0,0,
93252,12,2021,Gas- Commercial,Y,0,0,
93263,10,2021,Gas- Commercial,Y,0,0,
93263,11,2021,Gas- Commercial,Y,0,0,
93263,12,2021,Gas- Commercial,Y,0,0,
93268,10,2021,Gas- Commercial,Y,0,0,
93268,11,2021,Gas- Commercial,Y,0,0,
93268,12,2021,Gas- Commercial,Y,346,"161,893",468
93280,10,2021,Gas- Commercial,Y,0,0,
93280,11,2021,Gas- Commercial,Y,0,0,
93280,12,2021,Gas- Commercial,Y,0,0,
93301,10,2021,Gas- Commercial,Y,"2,121","324,409",153
93301,11,2021,Gas- Commercial,N,"1,124","180,136",160
93301,12,2021,Gas- Commercial,N,"1,130","342,602",303
93304,10,2021,Gas- Commercial,Y,0,0,
93304,11,2021,Gas- Commercial,N,605,"98,947",164
93304,12,2021,Gas- Commercial,N,599,"168,133",281
93305,10,2021,Gas- Commercial,N,468,"67,311",144
93305,11,2021,Gas- Commercial,N,465,"91,468",197
93305,12,2021,Gas- Commercial,N,465,"145,955",314
93306,10,2021,Gas- Commercial,N,373,"93,003",249
93306,11,2021,Gas- Commercial,N,375,"117,276",313
93306,12,2021,Gas- Commercial,N,380,"180,857",476
93307,10,2021,Gas- Commercial,Y,668,"119,476",179
93307,11,2021,Gas- Commercial,Y,666,"157,062",236
93307,12,2021,Gas- Commercial,Y,664,"292,384",440
93308,10,2021,Gas- Commercial,Y,476,"93,606",197
93308,11,2021,Gas- Commercial,Y,475,"110,725",233
93308,12,2021,Gas- Commercial,Y,474,"181,939",384
93309,10,2021,Gas- Commercial,Y,0,0,
93309,11,2021,Gas- Commercial,N,385,"89,026",231
93309,12,2021,Gas- Commercial,N,386,"151,889",393
93311,10,2021,Gas- Commercial,Y,0,0,
93311,11,2021,Gas- Commercial,Y,0,0,
93311,12,2021,Gas- Commercial,Y,0,0,
93313,10,2021,Gas- Commercial,Y,931,"205,480",221
93313,11,2021,Gas- Commercial,Y,932,"270,390",290
93313,12,2021,Gas- Commercial,N,585,"314,492",538
93314,10,2021,Gas- Commercial,Y,0,0,
93314,11,2021,Gas- Commercial,Y,0,0,
93314,12,2021,Gas- Commercial,Y,0,0,
93432,10,2021,Gas- Commercial,Y,0,0,
93432,11,2021,Gas- Commercial,Y,0,0,
93432,12,2021,Gas- Commercial,Y,0,0,
93446,10,2021,Gas- Commercial,Y,0,0,
93446,11,2021,Gas- Commercial,Y,0,0,
93446,12,2021,Gas- Commercial,Y,0,0,
93450,10,2021,Gas- Commercial,Y,0,0,
93450,11,2021,Gas- Commercial,Y,0,0,
93450,12,2021,Gas- Commercial,Y,0,0,
93461,10,2021,Gas- Commercial,Y,0,0,
93461,11,2021,Gas- Commercial,Y,0,0,
93461,12,2021,Gas- Commercial,Y,0,0,
93516,10,2021,Gas- Commercial,Y,0,0,
93516,11,2021,Gas- Commercial,Y,0,0,
93516,12,2021,Gas- Commercial,Y,0,0,
93523,10,2021,Gas- Commercial,Y,0,0,
93523,11,2021,Gas- Commercial,Y,0,0,
93523,12,2021,Gas- Commercial,Y,0,0,
93555,10,2021,Gas- Commercial,Y,614,"89,402",146
93555,11,2021,Gas- Commercial,Y,612,"112,463",184
93555,12,2021,Gas- Commercial,Y,617,"251,918",408
93561,10,2021,Gas- Commercial,Y,0,0,
93561,11,2021,Gas- Commercial,Y,0,0,
93561,12,2021,Gas- Commercial,Y,0,0,
93562,10,2021,Gas- Commercial,Y,0,0,
93562,11,2021,Gas- Commercial,Y,0,0,
93562,12,2021,Gas- Commercial,Y,0,0,
93608,10,2021,Gas- Commercial,Y,0,0,
93608,11,2021,Gas- Commercial,Y,0,0,
93608,12,2021,Gas- Commercial,Y,0,0,
93610,10,2021,Gas- Commercial,Y,0,0,
93610,11,2021,Gas- Commercial,Y,0,0,
93610,12,2021,Gas- Commercial,Y,0,0,
93611,10,2021,Gas- Commercial,Y,0,0,
93611,11,2021,Gas- Commercial,Y,0,0,
93611,12,2021,Gas- Commercial,Y,0,0,
93612,10,2021,Gas- Commercial,Y,"2,344","527,959",225
93612,11,2021,Gas- Commercial,Y,"2,356","635,063",270
93612,12,2021,Gas- Commercial,Y,"1,471","677,278",460
93616,10,2021,Gas- Commercial,Y,0,0,
93616,11,2021,Gas- Commercial,Y,0,0,
93616,12,2021,Gas- Commercial,Y,0,0,
93619,10,2021,Gas- Commercial,Y,0,0,
93619,11,2021,Gas- Commercial,Y,0,0,
93619,12,2021,Gas- Commercial,Y,0,0,
93620,10,2021,Gas- Commercial,Y,0,0,
93620,11,2021,Gas- Commercial,Y,0,0,
93620,12,2021,Gas- Commercial,Y,0,0,
93622,10,2021,Gas- Commercial,Y,0,0,
93622,11,2021,Gas- Commercial,Y,0,0,
93622,12,2021,Gas- Commercial,Y,0,0,
93625,10,2021,Gas- Commercial,Y,0,0,
93625,11,2021,Gas- Commercial,Y,0,0,
93625,12,2021,Gas- Commercial,Y,0,0,
93627,10,2021,Gas- Commercial,Y,0,0,
93627,11,2021,Gas- Commercial,Y,0,0,
93627,12,2021,Gas- Commercial,Y,0,0,
93630,10,2021,Gas- Commercial,Y,0,0,
93630,11,2021,Gas- Commercial,Y,0,0,
93630,12,2021,Gas- Commercial,Y,449,"222,842",496
93635,10,2021,Gas- Commercial,Y,0,0,
93635,11,2021,Gas- Commercial,Y,593,"140,684",237
93635,12,2021,Gas- Commercial,Y,590,"224,655",381
93636,10,2021,Gas- Commercial,Y,0,0,
93636,11,2021,Gas- Commercial,Y,0,0,
93636,12,2021,Gas- Commercial,Y,0,0,
93637,10,2021,Gas- Commercial,Y,775,"333,661",431
93637,11,2021,Gas- Commercial,Y,714,"332,814",466
93637,12,2021,Gas- Commercial,Y,834,"526,037",631
93638,10,2021,Gas- Commercial,N,317,"70,415",222
93638,11,2021,Gas- Commercial,N,318,"98,185",309
93638,12,2021,Gas- Commercial,N,322,"151,361",470
93640,10,2021,Gas- Commercial,Y,0,0,
93640,11,2021,Gas- Commercial,Y,0,0,
